"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Loki","HANJIN BRION","Middle",16,"25%","44%",41,49,90,2.7,"67.2%","21.0%","20.2%","13%",-389,-328,-7.2,8.8,"23.5%",540,"22.5%","22.7%",5166,255,"20.5%",0,0.43,0.2,0.23
"Lucid","Dplus Kia","Jungle",37,"54%","54%",110,104,240,3.4,"72.9%","22.9%","22.1%","35%",-6,53,1.6,6.8,"16.5%",448,"16.4%","17.9%",1721,251,"19.2%",5,0.43,0.37,0.4
"Namgung","HANJIN BRION","Support",36,"44%","47%",41,113,297,3,"64.4%","7.8%","23.8%","33%",16,-109,-0.8,1.2,"2.8%",283,"10.5%","8.3%",1029,136,"10.5%",0,2.1,0.47,0.52
"Oner","T1","Jungle",36,"72%","58%",138,105,279,4,"69.3%","22.9%","20.7%","31%",-12,-26,-1.6,7,"18.9%",489,"16.3%","17.4%",2689,274,"20.4%",5,0.37,0.27,0.42
"PerfecT","KT Rolster","Top",37,"65%","62%",96,90,177,3,"46.0%","16.2%","18.6%","11%",165,148,3.5,8.4,"23.0%",636,"22.3%","21.0%",10022,259,"19.9%",0,0.46,0.2,0.18
"Peter","DN SOOPers","Support",13,"15%","77%",6,49,98,2.1,"77.0%","4.4%","21.2%","23%",-173,-74,1.9,1.1,"2.2%",217,"8.7%","7.7%",180,118,"10.4%",0,2,0.44,0.49
"Peyz","T1","ADC",36,"72%","53%",181,83,220,4.8,"66.6%","30.1%","16.4%","39%",237,-7,4.9,10.3,"31.0%",827,"28.2%","30.6%",8700,381,"27.9%",1,0.42,0.13,0.36
"Pleata","Nongshim RedForce","Support",7,"0%","43%",6,15,48,3.6,"69.2%","7.7%","11.5%","14%",190,204,3,1.2,"2.8%",286,"10.6%","8.7%",454,120,"10.9%",0,1.98,0.37,0.48
"Pyosik","DN SOOPers","Jungle",30,"7%","33%",67,112,119,1.7,"72.9%","26.3%","21.0%","27%",-195,-187,-2.3,6.5,"16.4%",351,"15.0%","17.3%",680,220,"19.8%",3,0.44,0.36,0.41
"Quantum","DN SOOPers","Support",8,"0%","75%",2,31,40,1.4,"79.2%","3.8%","24.2%","13%",-125,-154,0.3,1.1,"2.7%",208,"9.6%","7.5%",436,109,"9.9%",0,1.87,0.34,0.47
"Raptor","BNK FEARX","Jungle",34,"35%","59%",101,132,238,2.6,"75.2%","22.4%","24.0%","32%",-68,-37,-1.7,6.4,"17.2%",437,"16.7%","17.4%",2005,244,"19.7%",1,0.39,0.31,0.38
